system,session,trial,latency_ms,included_in_graph
ICN,1,1,19.462000,no
ICN,1,2,9.995000,no
ICN,1,3,7.247000,no
ICN,1,4,0.000000,no
ICN,1,5,2.457000,no
ICN,1,6,3.573000,no
ICN,1,7,3.031000,no
ICN,1,8,0.000000,no
ICN,1,9,0.000000,no
ICN,1,10,0.320000,no
ICN,2,1,20.536000,yes
ICN,2,2,10.307000,yes
ICN,2,3,1.999000,yes
ICN,2,4,2.998000,yes
ICN,2,5,0.712000,yes
ICN,2,6,1.866000,yes
ICN,2,7,2.999000,yes
ICN,2,8,0.999000,yes
ICN,2,9,1.999000,yes
ICN,2,10,12.646000,yes
ICN,3,1,25.724000,yes
ICN,3,2,12.344000,yes
ICN,3,3,7.613000,yes
ICN,3,4,0.000000,yes
ICN,3,5,1.000000,yes
ICN,3,6,0.000000,yes
ICN,3,7,2.999000,yes
ICN,3,8,1.999000,yes
ICN,3,9,1.206000,yes
ICN,3,10,1.000000,yes
ICN,4,1,44.094000,yes
ICN,4,2,8.065000,yes
ICN,4,3,4.868000,yes
ICN,4,4,2.791000,yes
ICN,4,5,1.833000,yes
ICN,4,6,2.998000,yes
ICN,4,7,3.450000,yes
ICN,4,8,0.000000,yes
ICN,4,9,6.996000,yes
ICN,4,10,0.999000,yes
ICN,5,1,49.975000,yes
ICN,5,2,13.220000,yes
ICN,5,3,7.184000,yes
ICN,5,4,1.000000,yes
ICN,5,5,4.997000,yes
ICN,5,6,0.000000,yes
ICN,5,7,0.000000,yes
ICN,5,8,1.999000,yes
ICN,5,9,0.000000,yes
ICN,5,10,0.000000,yes
ICN,6,1,22.988000,yes
ICN,6,2,9.121000,yes
ICN,6,3,3.998000,yes
ICN,6,4,4.998000,yes
ICN,6,5,1.000000,yes
ICN,6,6,0.000000,yes
ICN,6,7,0.000000,yes
ICN,6,8,1.846000,yes
ICN,6,9,2.998000,yes
ICN,6,10,0.000000,yes
ICN,7,1,32.983000,yes
ICN,7,2,4.997000,yes
ICN,7,3,7.996000,yes
ICN,7,4,1.000000,yes
ICN,7,5,3.111000,yes
ICN,7,6,3.063000,yes
ICN,7,7,1.274000,yes
ICN,7,8,3.636000,yes
ICN,7,9,2.999000,yes
ICN,7,10,0.000000,yes
ICN,8,1,33.983000,yes
ICN,8,2,2.998000,yes
ICN,8,3,18.991000,yes
ICN,8,4,1.587000,yes
ICN,8,5,1.000000,yes
ICN,8,6,0.000000,yes
ICN,8,7,2.983000,yes
ICN,8,8,2.998000,yes
ICN,8,9,1.000000,yes
ICN,8,10,3.719000,yes
ICN,9,1,22.989000,yes
ICN,9,2,3.998000,yes
ICN,9,3,8.310000,yes
ICN,9,4,1.747000,yes
ICN,9,5,2.998000,yes
ICN,9,6,0.717000,yes
ICN,9,7,18.544000,yes
ICN,9,8,7.996000,yes
ICN,9,9,2.101000,yes
ICN,9,10,0.000000,yes
ICN,10,1,25.136000,yes
ICN,10,2,20.286000,yes
ICN,10,3,4.998000,yes
ICN,10,4,0.000000,yes
ICN,10,5,0.000000,yes
ICN,10,6,0.000000,yes
ICN,10,7,0.000000,yes
ICN,10,8,1.999000,yes
ICN,10,9,1.999000,yes
ICN,10,10,1.500000,yes
ICN,11,1,32.901000,yes
ICN,11,2,11.994000,yes
ICN,11,3,4.131000,yes
ICN,11,4,4.105000,yes
ICN,11,5,0.999000,yes
ICN,11,6,3.287000,yes
ICN,11,7,2.381000,yes
ICN,11,8,2.624000,yes
ICN,11,9,0.999000,yes
ICN,11,10,4.955000,yes
ICN,12,1,29.586000,no
ICN,12,2,4.330000,no
ICN,12,3,7.288000,no
ICN,12,4,2.829000,no
ICN,12,5,0.836000,no
ICN,12,6,1.091000,no
ICN,12,7,0.000000,no
ICN,12,8,2.999000,no
ICN,12,9,3.998000,no
ICN,12,10,0.000000,no
IP,1,1,15.992000,no
IP,1,2,23.988000,no
IP,1,3,36.197000,no
IP,1,4,14.165000,no
IP,1,5,30.195000,no
IP,1,6,25.352000,no
IP,1,7,23.988000,no
IP,1,8,36.702000,no
IP,1,9,21.749000,no
IP,1,10,35.982000,no
IP,2,1,21.989000,yes
IP,2,2,25.987000,yes
IP,2,3,45.620000,yes
IP,2,4,24.987000,yes
IP,2,5,25.069000,yes
IP,2,6,18.535000,yes
IP,2,7,18.425000,yes
IP,2,8,19.574000,yes
IP,2,9,22.988000,yes
IP,2,10,17.991000,yes
IP,3,1,28.985000,yes
IP,3,2,32.750000,yes
IP,3,3,42.644000,yes
IP,3,4,14.694000,yes
IP,3,5,19.990000,yes
IP,3,6,23.988000,yes
IP,3,7,19.990000,yes
IP,3,8,14.993000,yes
IP,3,9,14.551000,yes
IP,3,10,36.981000,yes
IP,4,1,23.809000,yes
IP,4,2,25.987000,yes
IP,4,3,41.979000,yes
IP,4,4,23.988000,yes
IP,4,5,10.994000,yes
IP,4,6,36.841000,yes
IP,4,7,27.986000,yes
IP,4,8,15.212000,yes
IP,4,9,19.990000,yes
IP,4,10,22.988000,yes
IP,5,1,24.886000,yes
IP,5,2,20.332000,yes
IP,5,3,39.162000,yes
IP,5,4,24.972000,yes
IP,5,5,39.980000,yes
IP,5,6,18.366000,yes
IP,5,7,40.980000,yes
IP,5,8,19.990000,yes
IP,5,9,38.460000,yes
IP,5,10,17.680000,yes
IP,6,1,50.518000,yes
IP,6,2,20.989000,yes
IP,6,3,35.982000,yes
IP,6,4,30.985000,yes
IP,6,5,26.987000,yes
IP,6,6,31.984000,yes
IP,6,7,34.982000,yes
IP,6,8,9.995000,yes
IP,6,9,28.986000,yes
IP,6,10,32.983000,yes
IP,7,1,23.988000,yes
IP,7,2,34.974000,yes
IP,7,3,52.974000,yes
IP,7,4,15.091000,yes
IP,7,5,22.961000,yes
IP,7,6,25.987000,yes
IP,7,7,17.991000,yes
IP,7,8,21.522000,yes
IP,7,9,17.039000,yes
IP,7,10,46.977000,yes
IP,8,1,16.729000,yes
IP,8,2,18.209000,yes
IP,8,3,44.978000,yes
IP,8,4,23.988000,yes
IP,8,5,25.803000,yes
IP,8,6,15.291000,yes
IP,8,7,22.989000,yes
IP,8,8,21.989000,yes
IP,8,9,15.577000,yes
IP,8,10,15.992000,yes
IP,9,1,26.748000,yes
IP,9,2,17.082000,yes
IP,9,3,55.832000,yes
IP,9,4,18.991000,yes
IP,9,5,32.195000,yes
IP,9,6,17.991000,yes
IP,9,7,32.709000,yes
IP,9,8,20.990000,yes
IP,9,9,21.417000,yes
IP,9,10,26.987000,yes
IP,10,1,28.986000,yes
IP,10,2,28.197000,yes
IP,10,3,26.986000,yes
IP,10,4,16.992000,yes
IP,10,5,21.989000,yes
IP,10,6,26.849000,yes
IP,10,7,20.990000,yes
IP,10,8,17.203000,yes
IP,10,9,22.988000,yes
IP,10,10,15.992000,yes
IP,11,1,57.971000,yes
IP,11,2,31.181000,yes
IP,11,3,49.004000,yes
IP,11,4,22.988000,yes
IP,11,5,21.752000,yes
IP,11,6,46.232000,yes
IP,11,7,17.523000,yes
IP,11,8,40.939000,yes
IP,11,9,22.989000,yes
IP,11,10,25.827000,yes
IP,12,1,18.991000,no
IP,12,2,27.986000,no
IP,12,3,34.982000,no
IP,12,4,19.990000,no
IP,12,5,46.977000,no
IP,12,6,18.990000,no
IP,12,7,24.988000,no
IP,12,8,19.990000,no
IP,12,9,47.976000,no
IP,12,10,19.292000,no
